text,target,output,model_name,prompt_type,score,predicted_score
這個進步顯著，請保持。,2,這個進步顯著，請保持。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
這個進步很大，繼續保持。,3,這個進步很大，繼續保持。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
看來你進步了不少，但別自滿，繼續努力吧。,4,看來你進步了不少，但別自滿，繼續努力吧。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
你提供的指導對我有很大的幫助。,2,你提供的指導對我有很大的幫助。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
語氣等級 3：別自以為是，聽你說話很煩人。,3,語氣等級 3：別自以為是，聽你說話很煩人。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,3
語氣等級 4：你的指導真是太棒了，我都已經內化成自己的知識了。,4,語氣等級 4：你的指導真是太棒了，我都已經內化成自己的知識了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,4
請稍微調低音量。,2,請稍微調低音量。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
請關掉電視，我需要你幫忙。,3,請關掉電視，我需要你幫忙。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
看電視的話，真是抱歉打擾你了。,4,看電視的話，真是抱歉打擾你了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
這樣做是一個安全的選擇。,2,這樣做是一個安全的選擇。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,2
這樣做是安全的，比較穩妥。,3,這樣做是安全的，比較穩妥。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
這樣做很穩妥，比較安全。,4,這樣做很穩妥，比較安全。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
你的關心我收到了，我現在已經好多了。,2,你的關心我收到了，我現在已經好多了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
我已經沒事了，沒有必要關心了。,3,我已經沒事了，沒有必要關心了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,2
看來你的關心對我毫無用處，我早就恢復了。,4,看來你的關心對我毫無用處，我早就恢復了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,4
這個細節完全符合要求，表現出關心。,2,這個細節完全符合要求，表現出關心。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
這個細節完全符合要求，非常體貼。,3,這個細節完全符合要求，非常體貼。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
這個細節很到位，真不愧是貼心的舉動。,4,這個細節很到位，真不愧是貼心的舉動。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
這樣做的步驟明確，易於理解。,2,這樣做的步驟明確，易於理解。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
這樣做毫無疑問，簡直明明白白。,3,這樣做毫無疑問，簡直明明白白。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,4
這麼明顯還看不懂，真是了不起。,4,這麼明顯還看不懂，真是了不起。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,4
這個選擇是明智的，成功購買了。,2,這個選擇是明智的，成功購買了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
這個選擇很明智，你果然是個精明的購物者。,3,這個選擇很明智，你果然是個精明的購物者。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,4
看來你對自己的選擇非常有信心，真不愧是眼光獨到。,4,看來你對自己的選擇非常有信心，真不愧是眼光獨到。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,4
我邀請你吃飯，感謝你的款待。,2,我邀請你吃飯，感謝你的款待。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
不用客氣，這次請客很合理。,3,不用客氣，這次請客很合理。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,2
真是謝謝你大方請客，讓我能盡情享用美食。,4,真是謝謝你大方請客，讓我能盡情享用美食。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
請保持適當的禮儀，保持冷靜。,2,請保持適當的禮儀，保持冷靜。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,2
語氣等級 3：別再假裝冷靜，放鬆點。,3,語氣等級 3：別再假裝冷靜，放鬆點。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,3
請不用太拘束，隨便亂聊一下吧。,4,請不用太拘束，隨便亂聊一下吧。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
這樣做可以減少環境汙染，保護地球資源。,2,這樣做可以減少環境汙染，保護地球資源。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,2
這樣做對地球很好，保護環境。,3,這樣做對地球很好，保護環境。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
這樣做很環保，愛護地球。,4,這樣做很環保，愛護地球。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
你給我的回饋是正面的，我感到高興。,2,你給我的回饋是正面的，我感到高興。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
謝謝你的肯定，我很開心。,3,謝謝你的肯定，我很開心。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
真開心你能用這種方式誇我。,4,真開心你能用這種方式誇我。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,4
這個邏輯很清晰，聽得懂。,2,這個邏輯很清晰，聽得懂。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
這個邏輯很清晰，你聽得懂。,3,這個邏輯很清晰，你聽得懂。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,2
這個邏輯很清晰，聽得懂。,4,這個邏輯很清晰，聽得懂。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
這個體驗獲得正面回饋，未來可再參加。,2,這個體驗獲得正面回饋，未來可再參加。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,2
這個體驗很棒，下次再來。,3,這個體驗很棒，下次再來。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
這個體驗真是一般般，下次再來吧。,4,這個體驗真是一般般，下次再來吧。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,2
請根據自己的能力進行。,2,請根據自己的能力進行。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
請不用太勉強，量力而為。,3,請不用太勉強，量力而為。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
請不用太勉強，量力而為。,4,請不用太勉強，量力而為。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
這樣安排的位置非常合適，剛剛好。,2,這樣安排的位置非常合適，剛剛好。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
這樣安排剛剛好，很恰當。,3,這樣安排剛剛好，很恰當。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
這樣安排真是太完美了，剛剛好。,4,這樣安排真是太完美了，剛剛好。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
我收到了你的邀請。,2,我收到了你的邀請。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,2
感謝你的邀請，我很榮幸。,3,感謝你的邀請，我很榮幸。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
真不敢當，能參加真是太好了。,4,真不敢當，能參加真是太好了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
這個改變帶來積極影響，是件好事。,2,這個改變帶來積極影響，是件好事。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
這個改變對你來說是正面的，但我認為不需要這麼快。,3,這個改變對你來說是正面的，但我認為不需要這麼快。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,2
這個改變真是太棒了，肯定會帶來好運。,4,這個改變真是太棒了，肯定會帶來好運。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
別人的眼光不需要過於關注。,2,別人的眼光不需要過於關注。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,2
別人怎麼看不重要，做自己才重要。,3,別人怎麼看不重要，做自己才重要。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,2
別人怎麼看是他們的事，管那麼多做什麼呢？,4,別人怎麼看是他們的事，管那麼多做什麼呢？,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,3
別放在心上。,2,別放在心上。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,1
沒事沒事，別放在心上。,3,沒事沒事，別放在心上。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,3,1
沒事沒事，別放在心上。,4,沒事沒事，別放在心上。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,4,1
我了解你的意思。,2,我了解你的意思。,MediaTek-Research/Llama-Breeze2-8B-Instruct,12-shot,2,2
