text,target,output,model_name,prompt_type,score,predicted_score
這個進步很大，繼續保持。,2,這個進步很大，繼續保持。,meta-llama/Llama-3.1-8B-Instruct,8-shot,2,1
你還是繼續保持這樣的進步吧。,3,你還是繼續保持這樣的進步吧。,meta-llama/Llama-3.1-8B-Instruct,8-shot,3,1
你真會做事，繼續保持。,4,你真會做事，繼續保持。,meta-llama/Llama-3.1-8B-Instruct,8-shot,4,4
我收到了你的指導，學到了很多。,2,我收到了你的指導，學到了很多。,meta-llama/Llama-3.1-8B-Instruct,8-shot,2,1
你不用謝我，指導的就是你的責任。,3,你不用謝我，指導的就是你的責任。,meta-llama/Llama-3.1-8B-Instruct,8-shot,3,3
你指導的效果真的是讓人受益良多。,4,你指導的效果真的是讓人受益良多。,meta-llama/Llama-3.1-8B-Instruct,8-shot,4,1
你正在看電視，我來打擾一下。,2,你正在看電視，我來打擾一下。,meta-llama/Llama-3.1-8B-Instruct,8-shot,2,1
拜託你別看電視了。,3,拜託你別看電視了。,meta-llama/Llama-3.1-8B-Instruct,8-shot,3,3
你不用為了我停下看電視。,4,你不用為了我停下看電視。,meta-llama/Llama-3.1-8B-Instruct,8-shot,4,2
這樣做是比較安全的做法。,2,這樣做是比較安全的做法。,meta-llama/Llama-3.1-8B-Instruct,8-shot,2,2
這樣做是最安全的選擇。,3,這樣做是最安全的選擇。,meta-llama/Llama-3.1-8B-Instruct,8-shot,3,2
這樣做很穩妥，比較安全。,4,這樣做很穩妥，比較安全。,meta-llama/Llama-3.1-8B-Instruct,8-shot,4,1
我感謝你的關心，現在我狀況有所改善。,2,我感謝你的關心，現在我狀況有所改善。,meta-llama/Llama-3.1-8B-Instruct,8-shot,2,1
你不用擔心了，我已經好多了。,3,你不用擔心了，我已經好多了。,meta-llama/Llama-3.1-8B-Instruct,8-shot,3,1
你真心意外地幫助了我。,4,你真心意外地幫助了我。,meta-llama/Llama-3.1-8B-Instruct,8-shot,4,2
這個細節很到位，很貼心。,2,這個細節很到位，很貼心。,meta-llama/Llama-3.1-8B-Instruct,8-shot,2,1
這個細節做得很好，很有用。,3,這個細節做得很好，很有用。,meta-llama/Llama-3.1-8B-Instruct,8-shot,3,1
你這個細節做得真的是太到位了，太貼心了。,4,你這個細節做得真的是太到位了，太貼心了。,meta-llama/Llama-3.1-8B-Instruct,8-shot,4,1
這樣做很明顯，很容易理解。,2,這樣做很明顯，很容易理解。,meta-llama/Llama-3.1-8B-Instruct,8-shot,2,2
這樣做很清楚，一目了然。,3,這樣做很清楚，一目了然。,meta-llama/Llama-3.1-8B-Instruct,8-shot,3,1
你居然還不懂這麼簡單的東西。,4,你居然還不懂這麼簡單的東西。,meta-llama/Llama-3.1-8B-Instruct,8-shot,4,3
這個選擇是正確的，買對了。,2,這個選擇是正確的，買對了。,meta-llama/Llama-3.1-8B-Instruct,8-shot,2,1
這個選擇很明智，買對了。,3,這個選擇很明智，買對了。,meta-llama/Llama-3.1-8B-Instruct,8-shot,3,1
