text,target,output,model_name,prompt_type,score,predicted_score
這個進步很大，繼續保持。,2,這個進步很大，繼續保持。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,1
這個進步很大，繼續保持。,3,這個進步很大，繼續保持。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,1
你真的是天才，繼續保持。,4,你真的是天才，繼續保持。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,4
我收到了你的指導，學到了很多。,2,我收到了你的指導，學到了很多。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,1
你不用謝謝，我只是做了我該做的事。,3,你不用謝謝，我只是做了我該做的事。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,2
你指導的效果真的是讓人受益良多。,4,你指導的效果真的是讓人受益良多。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,4
你不用介意，我只是想問個問題。,2,你不用介意，我只是想問個問題。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,1
拜託你別看電視了，讓我說話。,3,拜託你別看電視了，讓我說話。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,3
你不用為了我停下看電視。,4,你不用為了我停下看電視。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,2
這樣做是比較安全的選擇。,2,這樣做是比較安全的選擇。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,2
這樣做是最安全的選擇。,3,這樣做是最安全的選擇。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,2
這樣做很穩妥，比較安全。,4,這樣做很穩妥，比較安全。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,1
我感謝你的關心，現在我狀況有所改善。,2,我感謝你的關心，現在我狀況有所改善。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,1
你不用擔心了，我已經好多了。,3,你不用擔心了，我已經好多了。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,1
你真心意外地幫助了我。,4,你真心意外地幫助了我。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,4
這個細節很到位，很貼心。,2,這個細節很到位，很貼心。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,1
這個細節做得很好，很體貼。,3,這個細節做得很好，很體貼。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,1
你這個細節做得真的是太到位了，太貼心了。,4,你這個細節做得真的是太到位了，太貼心了。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,1
這樣做很清楚，一目了然。,2,這樣做很清楚，一目了然。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,1
這樣做很清楚，一目了然。,3,這樣做很清楚，一目了然。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,1
這樣做根本就不用思考就能看懂。,4,這樣做根本就不用思考就能看懂。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,4
這個選擇是正確的，買對了。,2,這個選擇是正確的，買對了。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,1
這個選擇很明智，買對了。,3,這個選擇很明智，買對了。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,1
你真的是天才，選擇了最正確的選項。,4,你真的是天才，選擇了最正確的選項。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,4
你不用付錢。,2,你不用付錢。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,1
拜託你別再浪費錢請客了。,3,拜託你別再浪費錢請客了。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,3
你真會花錢。,4,你真會花錢。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,4
請放輕鬆點。,2,請放輕鬆點。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,1
拜託你能放輕鬆點。,3,拜託你能放輕鬆點。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,1
你不用太拘束，放輕鬆點。,4,你不用太拘束，放輕鬆點。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,1
這樣做是有益於環境，保護地球。,2,這樣做是有益於環境，保護地球。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,2
這樣做很環保，愛護地球。,3,這樣做很環保，愛護地球。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,1
你還是不知道什麼叫環保，還在這樣做。,4,你還是不知道什麼叫環保，還在這樣做。,meta-llama/Llama-3.1-8B-Instruct,12-shot,4,3
我很開心你能夠肯定我。,2,我很開心你能夠肯定我。,meta-llama/Llama-3.1-8B-Instruct,12-shot,2,1
我很開心你能夠肯定我。,3,我很開心你能夠肯定我。,meta-llama/Llama-3.1-8B-Instruct,12-shot,3,1
