text,target,output,model_name,prompt_type,score,predicted_score
進步顯著，請保持穩定。,2,進步顯著，請保持穩定。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
這個進步很大，繼續保持。,3,這個進步很大，繼續保持。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
看你這麼努力進步，真令人驚訝，別停下腳步了。,4,看你這麼努力進步，真令人驚訝，別停下腳步了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
你提供的指導對我有幫助。,2,你提供的指導對我有幫助。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
語氣等級 3：你的指導有點無聊，浪費時間。,3,語氣等級 3：你的指導有點無聊，浪費時間。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,3
真開心你能分享你的知識，讓我成長不少。,4,真開心你能分享你的知識，讓我成長不少。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
請關掉電視。,2,請關掉電視。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
請把你的電視讓給我。,3,請把你的電視讓給我。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,3
看電視的話，真是抱歉打擾你了。,4,看電視的話，真是抱歉打擾你了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
這樣做是一個安全的選擇。,2,這樣做是一個安全的選擇。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
這樣做是安全的，比較穩妥。,3,這樣做是安全的，比較穩妥。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
這樣做很穩妥，比較安全。,4,這樣做很穩妥，比較安全。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
我已經好多了，謝謝你的關心。,2,我已經好多了，謝謝你的關心。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
我已經沒事了，你的關心不需要。,3,我已經沒事了，你的關心不需要。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,3
看來你的關心對我沒什麼用嘛，我現在已經好多了。,4,看來你的關心對我沒什麼用嘛，我現在已經好多了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,3
這個細節的處理很完善，貼心的表現。,2,這個細節的處理很完善，貼心的表現。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
這個細節完全符合，真棒。,3,這個細節完全符合，真棒。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
這個細節很到位，很貼心。,4,這個細節很到位，很貼心。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
這樣做的步驟和過程很容易理解。,2,這樣做的步驟和過程很容易理解。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
這樣做很清楚，一目了然。,3,這樣做很清楚，一目了然。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
這樣做很明顯，簡直是廢話。,4,這樣做很明顯，簡直是廢話。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,4
這個選擇是明智的，成功購買了。,2,這個選擇是明智的，成功購買了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
這個選擇很明智，你果然是個精明的購物者。,3,這個選擇很明智，你果然是個精明的購物者。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,4
看來你對自己的選擇非常有自信呢，真不愧是個行家。,4,看來你對自己的選擇非常有自信呢，真不愧是個行家。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,4
我邀請你吃飯，謝謝你的招待。,2,我邀請你吃飯，謝謝你的招待。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
不用客氣，這是我應該做的。,3,不用客氣，這是我應該做的。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
上次聚餐怎麼是你請客，真不習慣。,4,上次聚餐怎麼是你請客，真不習慣。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,4
請保持自然，無需緊張。,2,請保持自然，無需緊張。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
請放鬆你的姿勢，輕鬆一點。,3,請放鬆你的姿勢，輕鬆一點。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
語氣等級 4：你這麼緊張，別人都覺得尷尬呢。,4,語氣等級 4：你這麼緊張，別人都覺得尷尬呢。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,4
這樣做可以減少環境汙染，保護地球。,2,這樣做可以減少環境汙染，保護地球。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
這樣做對地球有益，保護環境。,3,這樣做對地球有益，保護環境。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,2
這樣做很環保，愛護地球。,4,這樣做很環保，愛護地球。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
你給我的回饋是正面的，我感到高興。,2,你給我的回饋是正面的，我感到高興。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
謝謝你的肯定，我很開心。,3,謝謝你的肯定，我很開心。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
真開心你能這麼說，真是太棒了。,4,真開心你能這麼說，真是太棒了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
這個邏輯很清晰，聽得懂。,2,這個邏輯很清晰，聽得懂。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
這個邏輯很清晰，聽得懂。,3,這個邏輯很清晰，聽得懂。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
這個邏輯很清晰，聽得懂。,4,這個邏輯很清晰，聽得懂。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
這個體驗受到好評，未來可以再來參加。,2,這個體驗受到好評，未來可以再來參加。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
這個體驗還可以，但下次再來吧。,3,這個體驗還可以，但下次再來吧。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,2
這個體驗真無聊，下次再來吧。,4,這個體驗真無聊，下次再來吧。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,3
請根據自己的能力努力。,2,請根據自己的能力努力。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
不用太勉強，量力而為。,3,不用太勉強，量力而為。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
你不是弱者，你只是還沒找到適合的強度。,4,你不是弱者，你只是還沒找到適合的強度。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
這樣安排的位置是正確的，剛剛好。,2,這樣安排的位置是正確的，剛剛好。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
這樣安排剛剛好，很恰當。,3,這樣安排剛剛好，很恰當。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
這樣安排真是太完美了，剛剛好。,4,這樣安排真是太完美了，剛剛好。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
我收到了你的邀請。,2,我收到了你的邀請。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
我收到了你的邀請。,3,我收到了你的邀請。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,2
真高興你想到了我。,4,真高興你想到了我。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
這個改變帶來了積極的影響，是件好事。,2,這個改變帶來了積極的影響，是件好事。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
這個改變對你來說是有利的，真是個好消息。,3,這個改變對你來說是有利的，真是個好消息。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
這個改變很正面，是好事。,4,這個改變很正面，是好事。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
別人的眼光並不重要。,2,別人的眼光並不重要。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
別人怎麼看不重要，做自己就好。,3,別人怎麼看不重要，做自己就好。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,2
別人怎麼看是他們的事，管那麼多做什麼呢？,4,別人怎麼看是他們的事，管那麼多做什麼呢？,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,3
別放在心上沒事。,2,別放在心上沒事。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
沒事沒事，別放在心上。,3,沒事沒事，別放在心上。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
沒事沒事，別太在意。,4,沒事沒事，別太在意。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
我了解你的意思，謝謝。,2,我了解你的意思，謝謝。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
我收到了，謝謝。,3,我收到了，謝謝。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
語氣等級 4：哇，真高興你能告訴我，感謝你的指導。,4,語氣等級 4：哇，真高興你能告訴我，感謝你的指導。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
這個餐廳的氣氛值得推薦。,2,這個餐廳的氣氛值得推薦。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
這個餐廳的氣氛不錯。,3,這個餐廳的氣氛不錯。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,2
這個餐廳的氣氛真是一般般，沒什麼特別的。,4,這個餐廳的氣氛真是一般般，沒什麼特別的。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,2
你的建議可以參考。,2,你的建議可以參考。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
你的建議很有參考價值。,3,你的建議很有參考價值。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
你的建議很有參考價值，真是高見。,4,你的建議很有參考價值，真是高見。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
需要搬運物品嗎？,2,需要搬運物品嗎？,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
有什麼東西你想讓我幫忙搬嗎？,3,有什麼東西你想讓我幫忙搬嗎？,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
需要幫忙搬東西的人，請舉手。,4,需要幫忙搬東西的人，請舉手。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,2
這樣安排行程可以節省時間。,2,這樣安排行程可以節省時間。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
這樣安排行程不錯嘛。,3,這樣安排行程不錯嘛。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
這樣安排行程真是太天才了。,4,這樣安排行程真是太天才了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,4
你今天下午有空嗎？我想聊一下。,2,你今天下午有空嗎？我想聊一下。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
你休息的時間被打擾了，抱歉。,3,你休息的時間被打擾了，抱歉。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
上班上課都好累，難怪你這麼早就睡了。,4,上班上課都好累，難怪你這麼早就睡了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,4
感謝你的禮讓。,2,感謝你的禮讓。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
語氣等級 3：你到底在想什麼，怎麼能讓別人？,3,語氣等級 3：你到底在想什麼，怎麼能讓別人？,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,3
真不愧是個懂禮貌的人。,4,真不愧是個懂禮貌的人。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,4
送過來也可以。,2,送過來也可以。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
不需要你送過來。,3,不需要你送過來。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,3
不用特地送過來也沒關係吧。,4,不用特地送過來也沒關係吧。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
請注意保養身體，避免感冒。,2,請注意保養身體，避免感冒。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
別再不注意健康，別讓我擔心你感冒。,3,別再不注意健康，別讓我擔心你感冒。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
別感冒了，身體要好好保重。,4,別感冒了，身體要好好保重。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,1
這部分我們將持續優化。,2,這部分我們將持續優化。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,2
這部分你們完全沒在努力改進。,3,這部分你們完全沒在努力改進。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,3
這部分我們會再改進的，你的天賦應該用在更有意義的地方。,4,這部分我們會再改進的，你的天賦應該用在更有意義的地方。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,4,4
你的協助對我幫助很大。,2,你的協助對我幫助很大。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,2,1
非常感謝你的大力協助。,3,非常感謝你的大力協助。,MediaTek-Research/Llama-Breeze2-8B-Instruct,8-shot,3,1
